"cole_cod_dane_sede","cole_nombre_sede"
"115790000031","SEDE JORGE GUILLERMO MOJICA MARQUEZ"
"315380000114","COL LA CANDELARIA"
"215092000041","I.E.T. NUESTRA SEÑORA DE LA O - SEDE PRINCIPAL"
"315759001983","COLEGIO SUAMOX"
"115759002522","ARISTOBULO ANGARITA NIÑO"
"315001003483","CENTRO EDUCATIVO JUAN DE LA SALLE"
"115763000291","I.E. TECNICA PABLO VI - SEDE PRINCIPAL"
"115104000128","I.E. DE BOYACA - SEDE PRINCIPAL"
"415516000703","INSTITUTO SANTA RITA"
"215480000087","ESC CUINCHA"
"215646000170","I.E. TECNICA SALAMANCA - SEDE PRINCIPAL"
"315001000358","CENT EDUC COL GIMNASIO SANTANDER"
"315516000903","COL JOSE ASUNCION SILVA"
"215814000253","IE TEC RAFAEL URIBE - SEDE PRINCIPAL"
"115835000283","IE TEC INDUSTRIAL - SEDE PRINCIPAL"
"315511000018","I.E. HONORIO ANGEL Y OLARTE - SEDE PRINCIPAL"
"215176000216","CENT EDUC. SASA"
"215776000091","IE PEDREGAL ALTO - SEDE PRINCIPAL"
"115162000120","COL NZADO DE CERINZA"
"115664000123","COLEGIO DEPARTAMENTAL HORIZONTES"
"215104000092","I.E. SAN ISIDRO - SEDE PRINCIPAL"
"215090000078","CONC DESARROLLO RURAL DE LENGUPA"
"115189000148","INST JOSE CAYETANO VASQUEZ"
"115518000219","COL DEPTAL AGROP SECUNDARIA"
"215646000170","COL DE SALAMANCA"
"215778000047","COL BAS NARANJOS"
"215814000261","SEDE SAN RAFAEL"
"215814000091","COL DE EDUC BAS TUANECA ARRIBA"
"215047000102","ESC SISVACA"
"115808000026","IE MARIANO OSPINA PEREZ - SEDE PRINCIPAL"
"115238001775","INSTITUTO TECNICO NUEVA FAMILIA - SEDE PRINCIPAL"
"115097000265","I.E. TECNICO INDUSTRIAL MARISCAL SUCRE - SEDE PRINCIPAL"
"315176001152","LICEO COLOMBO INGLES  CI  - SEDE PRINCIPAL"
"115425000014","I.E. TECNICA JAIME CAMPOS JACOME DE MACANAL - SEDE PRINCIPAL"
"215757000136","I E MATILDE ANARAY - SEDE PRINCIPAL"
"115466000151","INST TEC INTGD PROM SOCIAL"
"415131000141","COL TECN AGRIC ANTONIO NARIÑO"
"215842000013","IE TEC AGROPECUARIA - SEDE PRINCIPAL"
"315491000351","CENTRO JUVENIL CAMPESINO FELIX GLOOR"
"215180000174","I.E. JAIME RUIZ CARRILLO - SEDE PRINCIPAL"
"215761000167","COL DE EDUC BAS Y MEDIA TEC JOSE BENIGNO PERILLA"
"315135000338","COL NZADO CAMPOHERMOSO"
"215135000236","COL COOP SAN ANTONIO DE LOS CEDROS"
"315516000016","I.E. EL ROSARIO - SEDE PRINCIPAL"
"315638000050","I.E. NUEVA GENERACION - SEDE PRINCIPAL"
"115001001142","LOS LIBERTADORES"
"215180000051","I.E. LAS CAÑAS - SEDE PRINCIPAL"
"315001003632","INSTITUTO SAN FERNANDO FERRINI"
"215572000181","COL. EDUC. BAS. Y MED. TEC. JOSE JOAQUIN ORTIZ"
"115097000028","CENTRAL"
"115317000016","I.E.T. SAN DIEGO DE ALCALA - SEDE PRINCIPAL"
"215572000121","COLTEC AGROP PUERTO SERVIEZ"
"215759000575","INSTITUCION EDUCATIVA MARCO ANTONIO QUIJANO RICO"
"415764800007","COLEGIO BILINGÜE OXFORD - SEDE PRINCIPAL"
"115879000221","INST TÉCNICO AGROP DE VIRACACHÁ"
"315861002129","INSTITUCION EDUCATIVA MANUEL ANTONIO FLOREZ"
"315238000166","COLEGIO SEMINARIO DIOCESANO"
"215325000321","I.E. TÉCNICA LAS MERCEDES - SEDE PRINCIPAL"
"215516000127","I.E. RAFAEL BAYONA NINO - SEDE PRINCIPAL"
"315238000964","COLEGIO SAN JOSE DE CALASANZ"
"115516000025","IE ARMANDO SOLANO"
"115514000249","IE DE EDUC BAS Y MEDIA TEC JOSE ANTONIO PAEZ - SEDE PRINCIPAL"
"215469000083","COL DE EDUCACION BAS MARCO FIDEL SUAREZ"
"215212000112","ESC SAN MIGUEL"
"315001003516","COLEGIO CORPORACION SANTO DOMINGO"
"115514000249","I.E. DE EDUCACION BASICA Y MEDIA TECNICA JOSE ANTONIO PAEZ - SEDE PRINCIPAL"
"115759000473","INSTITUCION EDUCATIVA LOS LIBERTADORES"
"315238000158","COLEGIO LA PRESENTACIÓN"
"115861000011","I.E. FRANCISCO DE PAULA SANTANDER - SEDE PRINCIPAL"
"415001002061","IE PANAMERICANO PUENTE BOYACA - SEDE PRINCIPAL"
