"cole_cod_dane_establecimiento","cole_nombre_establecimiento"
"215804000395","IE ANDRES ROMERO AREVALO"
"115114000011","I.E. ECOLOGICO DE BUSBANZA"
"315176001152","LICEO COLOMBO INGLES  CI"
"115189000148","I.E. JOSE CAYETANO VASQUEZ"
"115001002807","GUSTAVO ROJAS PINILLA."
"315759000235","LICEO DE LA PRESENTACION"
"115176000041","I.E. JOSE JOAQUIN CASAS"
"315187000069","I.E. AGROPECUARIO"
"215664000055","IE TECNICA LA AMISTAD"
"315407000359","GIMNASIO CAMPESTRE SANTO DOMINGO"
"315362000093","I.E. TECNICA SERGIO CAMARGO"
"115377000015","I.E. TECNICA VALENTIN GARCIA"
"215759000907","INSTITUCION EDUCATIVA TECNICA INDUSTRIAL GUSTAVO JIMENEZ"
"315759000243","COLEGIO COMERCIAL ADVENTISTA DE SOGAMOSO CADES"
"115790000031","I.E. JORGE GUILLERMO MOJICA MARQUEZ"
"315442000264","I.E. JORGE ELIECER GAITAN"
"115599000013","I.E. TECNICA JOSE IGNACIO DE MARQUEZ"
"315407000286","COL DULCE CORAZON DE MARIA"
"115097000265","I.E. TECNICO INDUSTRIAL MARISCAL SUCRE"
"315516000741","LICEO CAMPESTRE FRAY ARTURO AYALA"
"215761000167","I.E. TECNICA JOSE BENIGNO PERILLA"
"315001003691","COLEGIO INTEGRAL DE LOS ANDES"
"315238800031","INSTITUTO FRANCESCO PETRARCA"
"315238000158","COLEGIO LA PRESENTACIÓN"
"315001003516","COLEGIO CORPORACION SANTO DOMINGO"
"115757000026","I.E. TECNICA PEDRO JOSE SARMIENTO"
"115759000473","INSTITUCION EDUCATIVA LOS LIBERTADORES"
"115804000021","IE GUSTAVO ROMERO HERNANDEZ"
"115212000266","I.E. JUANA CAPORAL"
"215646000170","I.E. TECNICA SALAMANCA"
"115822000152","IE JORGE ELIECER GAITAN"
"115087000208","I.E.T. CARLOS ALBERTO OLANO VALDERRAMA"
"315693000298","I.E. RAFAEL REYES"
"315135000338","I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO"
"315001003523","COLEGIO COLOMBO BRITANICO"
"215047000153","IE SUSE"
"215814000091","IE CAMILO TORRES DE TOCA"
"215047000170","I.E. TOQUILLA"
"215842000226","IE SAN ISIDRO"
"215238000421","INSTITUCION EDUCATIVA QUEBRADA DE BECERRAS."
"115097000036","I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO"
"315238000964","COLEGIO SAN JOSE DE CALASANZ"
"215763000075","IE ADOLFO MARIA JIMENEZ"
"215861000121","IE SAN ANTONIO DE PADUA"
"315238000166","COLEGIO SEMINARIO DIOCESANO"
"115542000025","I.E. INDALECIO VASQUEZ"
"215109000163","I.E. TECNICA AGROPECUARIA LA GRANJA"
"215224000011","I.E. TECNICA PIJAOS"
"315001000081","COLEGIO LEV VYGOTSKY"
"315238001847","I.E. GENERAL SANTANDER"
"115238000931","COLEGIO TECNICO MUNICIPAL SIMON BOLIVAR"
"115476000124","I.E.T. SANTA CRUZ DE MOTAVITA"
"115238001813","COLEGIO NACIONALIZADO LA PRESENTACION"
"215516000127","I.E. RAFAEL BAYONA NIÑO"
"115500000084","I.E. NICOLAS CUERVO Y ROJAS"
"215531000435","I.E. TECNICA AGROPECUARIA DE DESARROLLO RURAL"
"215790000222","I.E. JUAN JOSE RONDON"
"215755000171","I.E. TECNICA JAIRO ALBARRACIN BARRERA"
"215673000025","IE EL CHAPETON"
"215244000131","I.E. EL CARDON"
"115693000035","IE CARLOS ARTURO TORRES PEÑA"
"115518000219","I.E. AGROPECUARIA"
"315001003421","IE RAFAEL BERNAL JIMENEZ"
"215442000057","I.E. LA CABAÑA"
"115842000272","I.E. TECNICA SAN IGNACIO"
"315238001171","GIMNASIO MODERNO SANTA SOFIA"
"315238001699","COLEGIO NUESTRA SEÑORA DE GUADALUPE"
"315176001110","IE ALBERT EINSTEIN"
"315759000898","COLEGIO COOPERATIVO DE TRABAJADORES DE ACERIAS PAZ DEL RIO"
"215861000156","IE PUENTE DE PIEDRA"
"315480000341","I.E. SAN MARCOS"
"215212000112","I.E. SAN MIGUEL"
"215480000133","I.E. NUESTRA SEÑORA DE LA NAVAL"
"315638000131","INSTITUCION EDUCATIVA MARIA MONTESSORI"
"315001003555","COLEGIO DE COMFABOY."
"215806000236","IE TECNICO INDUSTRIAL"
"115537000025","I.E. TECNICA INDUSTRIAL Y MINERA"
"115696000010","I.E. TECNICO AGROPECUARIO"
"215204000294","I.E. SAN FRANCISCO"
"315759001576","LICEO ANGLO AMERICANO DE SOGAMOSO"
"215325000321","I.E. TÉCNICA LAS MERCEDES"
"115808000026","I.E. MARIANO OSPINA PEREZ"
"215189000061","I.E. SANTO DOMINGO SAVIO"
"315455000344","COLEGIO CENCOV CIENCIA Y CULTURA"
"115455000027","IE SERGIO CAMARGO"
"315759002564","INSTITUTO SAN MARTIN"
"315215000029","I.E. JUAN JOSE SAMANIEGO"
"315572000037","COLEGIO SANTA TERESITA"
"215599000140","I.E. AGROPECUARIA EL ESCOBAL"
"115759000465","INSTITUCION EDUCATIVA MAGDALENA"
"315759000090","COLEGIO MILITAR INOCENCIO CHINCA"
"115322000024","I.E. VALLE DE TENZA"
"315638000050","I.E. NUEVA GENERACION"
"315001001842","COLEGIO LOS ÁNGELES"
"415204800001","GIMNASIO CAMBRIDGE - SEDE PRINCIPAL"
"415764800023","COLEGIO MILITAR CORONEL JUAN JOSE RONDON"
"115224000067","I.E. SAN FELIPE"
"115001000057","COLEGIO DE BOYACA"
"115879000221","I.E. TECNICA AGROPECUARIA"
"315185000169","I.E. SAN PEDRO CLAVER"
"115001002751","INSTITUCION EDUCATIVA JULIUS SIEBER"
"215842000013","I.E. TECNICA AGROPECUARIA"
"215104000092","I.E. TECNICA AGROPECUARIA SAN ISIDRO"
"115001001061","INSTITUCIÓN EDUCATIVA LIBERTADOR SIMON BOLIVAR"
"115299000011","I.E. MARCO AURELIO BERNAL"
"315176000971","COL MILITAR CORONEL FRAY JOSE IGNACIO MARIÑO"
"115764000082","IE SIMON BOLIVAR"
"115673000012","I.E. NORMAL SUPERIOR"
"115368000151","I.E. LOPEZ QUEVEDO"
"115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZON"
"315022000196","I.E. ENRIQUE SUAREZ"
"115466000115","INSTITUCION EDUCATIVA TECNICA DE MONGUI"
"315759002629","INSTITUTO DE EDUCACION FORMAL COMFABOY"
"115469000038","I.E. TECNICA ANTONIO NARIÑO"
"315646000522","COL SAGRADO CORAZON DE JESUS"
"115759001887","INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA"
"315238000026","COLEGIO SALESIANO"
"215232000020","I.E. EL CERRO"
"215204000278","I.E. SANTA BARBARA"
"215646000137","I.E. TECNICA LA LIBERTAD"
"315001003241","CENTRO DE INVESTIGACIONES PEDAGÓGICAS  RAYUELA"
"215542000224","I.E. BUTAGÁ"
"215842000196","IE DIVINO NIÑO"
"315238001721","COLEGIO COMFABOY"
"215580000521","IE DIVINO NIÑO CORMAL"
"115753000013","IE JUAN JOSE RONDON"
"115572000011","IE SAN PEDRO CLAVER"
"215759000630","INSTITUCION EDUCATIVA RAFAEL GUTIERREZ GIRARDOT"
"115176000041","I.E. LICEO NACIONAL JOSE JOAQUIN CASAS"
"115001002602","I.E ANTONIO JOSE SANDOVAL GOMEZ"
"115296000011","I.E. JUAN JOSE REYES PATRIA"
"415491000291","I.E. SUAZAPAWA"
"315238001740","INST SOLUCION EDUCATIVA SOLED"
"315172000020","I.E. TECNICA NUESTRA SEÑORA DE NAZARETH"
"315001002920","AMERICAN SCHOOL SAINT FRANCES"
"315001002768","COLEGIO CRISTIANO FILADELFIA"
"315238001430","COLEGIO CAMPESTRE SAN DIEGO"
"315238800022","CENTRO JUVENIL AMIGONIANO DE BOYACA"
"315001002911","GIMNASIO VILLA FONTANA"
"415516000410","I.E. TECNICA AGROPECUARIA DE PALERMO"
"215491000348","I.E.T. DE NAZARETH"
"315001000030","COLEGIO NUESTRA SEÑORA DEL ROSARIO"
"315511000018","I.E. TECNICA HONORIO ANGEL Y OLARTE"
