"cole_codigo_icfes","cole_nombre_sede"
"135814","I.E. CONCHA MEDINA DE SILVA - SEDE PRINCIPAL"
"47282","I.E. SAN PEDRO CLAVER - SEDE PRINCIPAL"
"27110","I.E. TECNICO AGROPECUARIO - SEDE PRINCIPAL"
"188896","COL LA LIBERTAD (SEDE GACAL)"
"161075","COL NSTRA SRA DE LA CANDELARIA"
"153023","COL ED BAS EL MORAL"
"152520","INSTITUTO DE EDUCACION FORMAL COMFABOY - SEDE PRINCIPAL"
"111732","COLEGIO CORPORACIÓN SANTO DOMINGO"
"81828","COL DPTAL MIX JORGE ELIECER GAITAN"
"753186","COLEGIO DE COMFABOY - SEDE PRINCIPAL"
"661066","INSTITUTO SANTA RITA"
"169821","COL NTRA SRA DE LA ANTIGUA"
"36608","CENTRAL"
"151399","COL EDU BAS EL PORTACHUELO"
"185918","COL EDUARDO MENDOZA VARELA"
"91488","I.E. NORMAL SUPERIOR NTRA SRA DEL ROSARIO - SEDE PRINCIPAL"
"676106","INSTITUCION EDUCATIVA RAFAEL GUTIERREZ GIRARDOT"
"158105","NSTRA SRA DE NAZARETH"
"138776","COL SAN LUIS BELTRAN"
"162917","INSTITUCION EDUCATIVA GUSTAVO ROJAS PINILLA CENTRAL"
,"IE JORGE ELIECER GAITAN - SEDE PRINCIPAL"
,"I.E. AGROINDUSTRIAL LA PRADERA - SEDE PRINCIPAL"
,"CENTRO EDUCATIVO SAN AGUSTIN - SEDE PRINCIPAL"
"36608","IE TEC ANTONIO NARIÑO - SEDE PRINCIPAL"
,"I.E.T. SAN DIEGO DE ALCALA - SEDE PRINCIPAL"
"144147","INSTITUTO TECNICO GONZALO SUAREZ RENDON CENTRAL"
"10927","INSTITUCION EDUCATIVA URIBESCO - SEDE PRINCIPAL"
"744888","I.E. TECNICA SUSANA GUILLEMIN - SEDE PRINCIPAL"
"4879","I.E. TECNICA RAMON IGNACIO AVELLA - SEDE PRINCIPAL"
"94086","LICEO DE LA PRESENTACION"
"746537","INSTITUCION EDUCATIVA LOS LIBERTADORES"
"163220","COL BAS ADOLFO MARÍA JIMÉNEZ"
"99721","COL. EL PRADO"
"120667","INS TEC SIMONA AMAYA"
"60053","I.E. INDALECIO VASQUEZ  - SEDE PRINCIPAL"
"30247","INST TEC INDUSTRIAL"
"29611","INST EDUC FRANCISCO JOSE DE CALDAS"
"145060","COLEGIO COLOMBO BRITANICO"
"28043","COLEGIO SAN PEDRO CLAVER"
"86322","I.E. SAN FRANCISCO - SEDE PRINCIPAL"
"136895","COL JOSE ASUNCION SILVA"
"123166","IE SIMON BOLIVAR - SEDE PRINCIPAL"
"661066","I.E. SANTA RITA - SEDE PRINCIPAL"
"781","IE RAFAEL BERNAL JIMENEZ"
"190942","ESC SAN MIGUEL"
,"IE TEC RAFAEL URIBE - SEDE PRINCIPAL"
